wall_time,session_t,mode,source,outcome,gesture,distance,threshold,threshold_source,runner_up,runner_up_distance,margin_ratio,fired,key,detail,seg_frames,seg_duration,seg_peak_speed,seg_mean_speed,seg_close_reason,session_label
1788752784.065,14.483,LIVE,trajectory,accepted,swipe_left,0.3070,0.6000,calibrated(3 samples),swipe_right,0.4425,0.6939,True,left,"DRY RUN, would press left",29,2.002,1.3969,0.2360,still,
1788752787.200,17.619,LIVE,trajectory,accepted,swipe_left,0.1235,0.6000,calibrated(3 samples),swipe_right,0.5826,0.2121,True,left,"DRY RUN, would press left",29,1.872,1.0976,0.2113,still,
1788752813.799,13.129,LIVE,trajectory,accepted,swipe_right,0.1960,0.6000,calibrated(3 samples),swipe_left,0.3997,0.4904,True,right,pressed right,26,1.699,0.8894,0.1892,still,
1788752816.175,15.506,LIVE,trajectory,accepted,swipe_left,0.5185,0.6000,calibrated(3 samples),swipe_right,0.6576,0.7885,True,left,pressed left,21,1.359,0.3319,0.1518,still,
1788752818.409,17.739,LIVE,trajectory,rejected,swipe_right,0.5222,0.6000,calibrated(3 samples),swipe_left,0.5399,0.9672,False,,ambiguous vs swipe_left (ratio 0.97 > 0.80),16,1.352,1.2332,0.1882,still,
1788752820.127,19.457,LIVE,trajectory,accepted,swipe_left,0.5196,0.6000,calibrated(3 samples),swipe_right,0.6616,0.7853,True,left,pressed left,16,1.197,0.9879,0.1839,still,
1788752821.529,20.859,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.54<0.55),5,0.719,0.7841,0.2102,hand_lost,
1788752825.794,25.124,LIVE,trajectory,accepted,swipe_right,0.2151,0.6000,calibrated(3 samples),swipe_left,0.3662,0.5875,True,right,pressed right,52,4.065,2.8493,0.2562,still,
1788752828.323,27.654,LIVE,trajectory,accepted,swipe_right,0.0780,0.6000,calibrated(3 samples),swipe_left,0.3343,0.2334,True,right,pressed right,17,1.396,1.5138,0.2956,still,
1788752830.258,29.588,LIVE,trajectory,accepted,swipe_left,0.5195,0.6000,calibrated(3 samples),swipe_right,0.6892,0.7537,True,left,pressed left,16,1.263,1.2764,0.2119,still,
1788752838.168,37.498,LIVE,trajectory,rejected,swipe_right,0.4135,0.6000,calibrated(3 samples),swipe_left,0.4807,0.8602,False,,ambiguous vs swipe_left (ratio 0.86 > 0.80),19,1.542,2.5897,0.3316,still,
1788752840.338,39.668,LIVE,trajectory,rejected,swipe_right,0.3804,0.6000,calibrated(3 samples),swipe_left,0.4069,0.9349,False,,ambiguous vs swipe_left (ratio 0.93 > 0.80),22,2.130,1.8645,0.3603,still,
1788752843.464,42.794,LIVE,trajectory,accepted,swipe_right,0.1606,0.6000,calibrated(3 samples),swipe_left,0.3658,0.4390,True,right,pressed right,25,1.573,0.9749,0.2123,still,
1788752845.884,45.215,LIVE,trajectory,accepted,swipe_right,0.0693,0.6000,calibrated(3 samples),swipe_left,0.3168,0.2186,True,right,pressed right,20,1.266,0.9069,0.2086,still,
1788752847.843,47.174,LIVE,trajectory,accepted,swipe_left,0.5193,0.6000,calibrated(3 samples),swipe_right,0.6813,0.7622,True,left,pressed left,17,1.489,1.4046,0.2229,still,
1788752850.276,49.606,LIVE,trajectory,accepted,swipe_left,0.1233,0.6000,calibrated(3 samples),swipe_right,0.6714,0.1836,True,left,pressed left,18,1.449,2.8871,0.4710,still,
1788754904.184,15.462,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.43<0.55),10,0.607,0.1156,0.0462,still,
1788754907.578,18.857,LIVE,trajectory,rejected,swipe_left,0.3500,0.6000,calibrated(3 samples),swipe_right,0.3835,0.9128,False,,ambiguous vs swipe_right (ratio 0.91 > 0.80),39,2.867,0.3170,0.0940,still,
1788754909.528,20.806,LIVE,trajectory,accepted,swipe_left,0.4402,0.6000,calibrated(3 samples),swipe_right,0.5848,0.7527,True,left,pressed left,7,0.861,0.2193,0.1210,hand_lost,
1788754917.917,29.195,LIVE,trajectory,accepted,swipe_right,0.1191,0.6000,calibrated(3 samples),swipe_left,0.3481,0.3423,True,right,pressed right,27,1.729,0.7642,0.1918,still,
1788754921.257,32.535,LIVE,trajectory,accepted,swipe_left,0.3498,0.6000,calibrated(3 samples),swipe_right,0.4646,0.7530,True,left,pressed left,35,2.804,0.8695,0.2020,hand_lost,
1788754923.782,35.061,LIVE,trajectory,accepted,swipe_left,0.5152,0.6000,calibrated(3 samples),swipe_right,0.6534,0.7885,True,left,pressed left,4,0.670,0.7251,0.3415,hand_lost,
1788754926.434,37.712,LIVE,trajectory,accepted,swipe_right,0.3151,0.6000,calibrated(3 samples),swipe_left,0.5403,0.5832,True,right,pressed right,8,0.907,0.3295,0.1396,hand_lost,
1788754928.799,40.078,LIVE,trajectory,accepted,swipe_right,0.2994,0.6000,calibrated(3 samples),swipe_left,0.3822,0.7834,True,right,pressed right,25,1.556,0.4040,0.1494,still,
1788754929.503,40.781,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.18<0.55),4,0.664,0.1129,0.0502,hand_lost,
1788754931.210,42.488,LIVE,trajectory,accepted,swipe_left,0.5139,0.6000,calibrated(3 samples),swipe_right,0.6680,0.7693,True,left,pressed left,16,1.309,1.5038,0.2478,still,
1788754933.473,44.752,LIVE,trajectory,rejected,swipe_right,0.3540,0.6000,calibrated(3 samples),swipe_left,0.3981,0.8892,False,,ambiguous vs swipe_left (ratio 0.89 > 0.80),27,1.942,2.3151,0.4558,still,
1788754937.564,48.842,LIVE,trajectory,accepted,swipe_left,0.2623,0.6000,calibrated(3 samples),swipe_right,0.5797,0.4524,True,left,pressed left,25,2.129,1.4075,0.2980,hand_lost,
1788754941.118,52.397,LIVE,trajectory,accepted,swipe_left,0.3015,0.6000,calibrated(3 samples),swipe_right,0.4494,0.6710,True,left,pressed left,14,1.308,0.4320,0.1101,hand_lost,
1788754947.080,58.358,LIVE,trajectory,accepted,swipe_left,0.2792,0.6000,calibrated(3 samples),swipe_right,0.4475,0.6239,True,left,pressed left,23,2.377,1.4834,0.3103,hand_lost,
1788754950.277,61.555,LIVE,trajectory,accepted,swipe_right,0.3107,0.6000,calibrated(3 samples),swipe_left,0.4136,0.7512,True,right,pressed right,19,1.691,0.4009,0.1843,hand_lost,
1788754959.909,71.188,LIVE,trajectory,accepted,swipe_left,0.5225,0.6000,calibrated(3 samples),swipe_right,0.8851,0.5903,True,left,pressed left,23,1.490,0.3926,0.1370,still,
1788754961.415,72.693,LIVE,trajectory,accepted,swipe_left,0.1360,0.6000,calibrated(3 samples),swipe_right,0.2750,0.4945,True,left,pressed left,22,1.413,0.2748,0.1118,still,
1788754962.977,74.256,LIVE,trajectory,rejected,swipe_left,0.5222,0.6000,calibrated(3 samples),swipe_right,0.5836,0.8948,False,,ambiguous vs swipe_right (ratio 0.89 > 0.80),16,1.028,0.1237,0.0552,still,
1788754965.549,76.827,LIVE,trajectory,accepted,swipe_right,0.1184,0.6000,calibrated(3 samples),swipe_left,0.2182,0.5424,True,right,pressed right,23,2.516,1.2995,0.2593,hand_lost,
1788754970.688,81.966,LIVE,trajectory,accepted,swipe_left,0.2777,0.6000,calibrated(3 samples),swipe_right,0.5479,0.5068,True,left,pressed left,33,3.616,0.8398,0.2329,hand_lost,
1788754973.765,85.043,LIVE,trajectory,rejected,swipe_right,0.4153,0.6000,calibrated(3 samples),swipe_left,0.4231,0.9815,False,,ambiguous vs swipe_left (ratio 0.98 > 0.80),7,1.194,2.9073,0.6428,hand_lost,
1788754976.165,87.443,LIVE,trajectory,accepted,swipe_right,0.0712,0.6000,calibrated(3 samples),swipe_left,0.3247,0.2192,True,right,pressed right,22,1.401,0.5583,0.1836,still,
1788754978.545,89.824,LIVE,trajectory,rejected,swipe_left,0.3873,0.6000,calibrated(3 samples),swipe_right,0.4064,0.9529,False,,ambiguous vs swipe_right (ratio 0.95 > 0.80),27,2.036,1.4983,0.2442,still,
1788754980.515,91.794,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.34<0.55),4,0.677,0.2970,0.1106,hand_lost,
1788754993.147,104.426,LIVE,trajectory,accepted,swipe_left,0.3416,0.6000,calibrated(3 samples),swipe_right,0.6871,0.4972,True,left,pressed left,25,1.632,1.0665,0.1132,still,
1788754994.362,105.641,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.31<0.55),11,0.667,0.0665,0.0295,still,
1788755000.684,111.963,LIVE,trajectory,accepted,swipe_right,0.2550,0.6000,calibrated(3 samples),swipe_left,0.4614,0.5527,True,right,pressed right,13,0.819,0.1887,0.0521,still,
1788755004.152,115.431,LIVE,trajectory,rejected,swipe_right,0.4930,0.6000,calibrated(3 samples),swipe_left,0.5602,0.8801,False,,ambiguous vs swipe_left (ratio 0.88 > 0.80),22,1.426,0.2928,0.1239,still,
1788755007.353,118.632,LIVE,trajectory,rejected,swipe_right,0.3866,0.6000,calibrated(3 samples),swipe_left,0.3970,0.9737,False,,ambiguous vs swipe_left (ratio 0.97 > 0.80),28,1.841,0.1041,0.0558,still,
1788755008.114,119.393,LIVE,trajectory,rejected,swipe_left,0.5156,0.6000,calibrated(3 samples),swipe_right,0.6135,0.8404,False,,ambiguous vs swipe_right (ratio 0.84 > 0.80),11,0.696,0.2069,0.0742,still,
1788755011.164,122.442,LIVE,trajectory,accepted,swipe_left,0.3583,0.6000,calibrated(3 samples),swipe_right,0.4600,0.7790,True,left,pressed left,36,2.385,0.2791,0.0941,still,
1788755016.395,127.673,LIVE,trajectory,accepted,swipe_left,0.4339,0.6000,calibrated(3 samples),swipe_right,0.8146,0.5327,True,left,pressed left,13,0.815,0.1047,0.0476,still,
1788755017.819,129.097,LIVE,trajectory,rejected,swipe_right,0.4989,0.6000,calibrated(3 samples),swipe_left,0.5163,0.9663,False,,ambiguous vs swipe_left (ratio 0.97 > 0.80),10,1.088,0.0916,0.0715,hand_lost,
1788755031.451,142.730,LIVE,trajectory,accepted,swipe_right,0.2151,0.6000,calibrated(3 samples),swipe_left,0.3862,0.5571,True,right,pressed right,21,1.330,0.2839,0.1152,still,
1788755033.182,144.461,LIVE,trajectory,accepted,swipe_left,0.3478,0.6000,calibrated(3 samples),swipe_right,0.4459,0.7801,True,left,pressed left,19,1.667,0.2931,0.1303,hand_lost,
1788755034.992,146.270,LIVE,trajectory,accepted,swipe_right,0.3511,0.6000,calibrated(3 samples),swipe_left,0.5659,0.6205,True,right,pressed right,13,0.807,0.9498,0.1859,still,
1788755037.852,149.131,LIVE,trajectory,accepted,swipe_left,0.2719,0.6000,calibrated(3 samples),swipe_right,0.4607,0.5903,True,left,pressed left,22,1.404,0.0827,0.0389,still,
1788755039.053,150.331,LIVE,trajectory,rejected,swipe_left,0.5065,0.6000,calibrated(3 samples),swipe_right,0.6119,0.8277,False,,ambiguous vs swipe_right (ratio 0.83 > 0.80),14,0.864,0.0960,0.0539,still,
1788755043.390,154.669,LIVE,trajectory,rejected,swipe_left,0.5064,0.6000,calibrated(3 samples),swipe_right,0.5224,0.9694,False,,ambiguous vs swipe_right (ratio 0.97 > 0.80),15,0.941,0.1428,0.0635,still,
1788755045.243,156.521,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.54<0.55),13,0.798,0.1046,0.0445,still,
